削除フラグ,【基本】Bカート商品ID,【基本】商品名,【基本】商品管理番号,【基本】キャッチコピー,【基本】メインカテゴリID,【基本】サブカテゴリID,【基本】特集ID（1）,【基本】特集ID（2）,【基本】特集ID（3）,【基本】生産地,【基本】サイズ,【基本】素材,【基本】注意事項,【基本】商品特徴,【基本】カスタム項目1,【基本】カスタム項目2,【基本】カスタム項目3,【基本】カスタム項目4,【基本】カスタム項目5,【基本】カスタム項目6,【基本】カスタム項目7,【基本】説明,【基本】meta_title,【基本】meta_keywords,【基本】meta_description,【基本】画像,【基本】商品グループID,【基本】状態,【基本】商品非表示グループ,【基本】商品非表示の例外(顧客ID),【基本】販売開始日時,【基本】販売終了日時,【基本】更新日時,【基本】レスポンシブ上部フリースペース,【基本】レスポンシブ中部フリースペース,【基本】レスポンシブ下部フリースペース,【基本】ダウンロードファイルパス（zipなど）,【基本】レコメンド,【基本】商品一覧表示パターン,【基本】表示順,【セット】BカートセットID,【セット】セット名,【セット】品番,【セット】JANコード,【セット】ロケーション,【セット】上代タイプ,【セット】上代,【セット】配送グループ,【セット】配送サイズ,【セット】カスタム項目1,【セット】カスタム項目2,【セット】カスタム項目3,【セット】商品オプションID,【セット】説明,【セット】単価,【セット】特別価格,【セット】入数,【セット】単位,【セット】税区分,【セット】最小注文可能数,【セット】最大注文可能数,【セット】在庫,【セット】在庫制限,【セット】在庫表示パターン,【セット】在庫わずか数,【セット】売上数,【セット】決済制限,【セット】表示順,【セット】商品グループID,【セット】状態,【セット】商品セット非表示グループ,【セット】商品セット非表示の例外(顧客ID),【セット】更新日時,【セット】グループ価格1,【セット】グループ価格2,【セット】グループ価格3,【セット】グループ価格4,【セット】グループ価格5,【セット】グループ価格6,【セット】グループ価格7,【セット】グループ価格8,【セット】グループ価格9,【セット】グループ価格10,サブ画像1,サブ画像2,サブ画像3,サブ画像4,サブ画像5,サブ画像6,サブ画像キャプション1,サブ画像キャプション2,サブ画像キャプション3,サブ画像キャプション4,サブ画像キャプション5,サブ画像キャプション6
,6414,DATE SEVEN SEASONⅡ episode2 山和style,,【予約】2つのDATE SEVEN！ 高みを目指しひた走る「山和style」,4,,,,,宮城県,,,,,,,,,,,,"注意事項となります。
ご注文前にお読み頂くよう御願い致します。
・こちらの商品は完全予約商品となります。予定数量達し次第受付終了となります。
・発送は7月4日(火)～順次発送の予定となりますが、蔵元様、また配送状況の都合により多少前後することがございます。ご了承下さいませ。
・発送準備が整い次第順次発送します。日時指定をご希望のお客様は、ご注文の際、7月6日(木)以降（北海道・沖縄は7/7（金）以降）の指定日を備考欄にご記入ください。
・本商品は抜栓解禁日時が2023年７月７日(金)午後７時です。恐れ入りますが、商品が早めに到着致しましても、解禁日時までしばしお待ち下さいませ。
・同梱可能です。但し、同時に頂いたご注文の商品は「DATE SEVEN SEASONⅡ episode2」が入荷してからの発送となります。同時注文のお品を先行して発送できませんので、予めご了承下さい。",,,,https://www.af-1.jp/bottle/11753.jpg,,非表示,,,,,2022/7/26 15:38,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">兵庫県産「山田錦」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">47％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米大吟醸/一回火入れ酒</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11753.png"">",,,0,0,8462,DATE SEVEN SEASONⅡ episode2 山和style 720ml,11753,,,非表示,0,弊社指定の運送会社,1250,,,,,,2700,,1,本,1,,,0,0,1,1,0,,0,,非表示,,,2023/6/25 19:21,2700,2700,2700,2700,,,,,,,,,,,,,DATE SEVEN SEASONⅡ episode2 山和style,,,,,
,6415,DATE SEVEN SEASONⅡ episode2 萩の鶴style,,【予約】2つのDATE SEVEN！ 鮮やかに弾ける「萩の鶴style」,4,,,,,宮城県,,,,,,,,,,,,"宮城の有名蔵7蔵が共同して造られる「DATE SEVEN」が帰ってきました！
SEASON Ⅱとして、携わっている蔵の主力銘柄は「勝山」「墨廼江」「伯楽星」「山和」「萩の鶴」「浦霞」「黄金澤」となり、SEASON Ⅰ同様どのお酒も地酒の枠を超えた全国区のお酒ばかりです。

注意事項となります。
ご注文前にお読み頂くよう御願い致します。
・こちらの商品は完全予約商品となります。予定数量達し次第受付終了となります。
・発送は7月4日(火)～順次発送の予定となりますが、蔵元様、また配送状況の都合により多少前後することがございます。ご了承下さいませ。
・発送準備が整い次第順次発送します。日時指定をご希望のお客様は、ご注文の際、7月6日(木)以降(北海道・沖縄は7/7(金)以降）の指定日を備考欄にご記入ください。
・本商品は抜栓解禁日時が2023年７月７日(金)午後７時です。恐れ入りますが、商品が早めに到着致しましても、解禁日時までしばしお待ち下さいませ。
・同梱可能です。但し、同時に頂いたご注文の商品は「DATE SEVEN SEASONⅡ episode2」が入荷してからの発送となります。同時注文のお品を先行して発送できませんので、予めご了承下さい。",,,,https://www.af-1.jp/bottle/13309.jpg,,非表示,,,,,2022/7/26 15:38,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">兵庫県産「山田錦」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">47％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米大吟醸/一回火入れ酒</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_13309.png"">",,,0,0,8463,DATE SEVEN SEASONⅡ episode2 萩の鶴style 720ml,13309,,,非表示,0,弊社指定の運送会社,1250,,,,,,2700,,1,本,1,,,0,0,1,1,0,,0,,非表示,,,2023/6/25 19:23,2700,2700,2700,2700,,,,,,,,,,,,,DATE SEVEN SEASONⅡ episode2 萩の鶴style,,,,,
,3125,赤武 純米,,とことんまで無駄がそぎ落とされた赤武らしさ溢れる純米酒,10,,,,,岩手県,,,,,,,,,,,,"ゴツゴツとした見た目とは裏腹にまるで「純米吟醸酒?」と感じてしまうほどに、清涼感、フレッシュさに溢れた純米酒。
それは香りからも伝わり、グラスに注ぐと、新鮮な米の甘みが果実感を伴ってフルーティーな香りを生み出し、スッと鼻を抜けていくような爽やかさが鼻腔を刺激します。
含んでみると、柔らかくふくらむ米の旨みとミネラリィさを感じる清涼感がとても心地よく舌上を滑っていきます。
しかし、ただ飲みやすいというだけではなく、その旨みには厚みもあり、幅を出しているので、まるでジューシーなお米の果実を丸かじりしているような、芳醇な旨味に満ちています。
気づくと、ロウソクのようにフッと消えていく後味も見事で、飲み疲れのない、最良のバランスで醸された純米酒です。",,,,https://www.af-1.jp/bottle/11716.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岩手県産米</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">60％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">16度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11716.png"">",,,0,0,4034,赤武 純米 1.8L,11716,,,非表示,0,弊社指定の運送会社,3000,,,,,,2600,,1,本,1,,,6,0,1,0,0,,0,,表示,,,,2600,2600,2600,2600,,,,,,,,,,,,,赤武 純米,,,,,
,3125,赤武 純米,,とことんまで無駄がそぎ落とされた赤武らしさ溢れる純米酒,10,,,,,岩手県,,,,,,,,,,,,"ゴツゴツとした見た目とは裏腹にまるで「純米吟醸酒?」と感じてしまうほどに、清涼感、フレッシュさに溢れた純米酒。
それは香りからも伝わり、グラスに注ぐと、新鮮な米の甘みが果実感を伴ってフルーティーな香りを生み出し、スッと鼻を抜けていくような爽やかさが鼻腔を刺激します。
含んでみると、柔らかくふくらむ米の旨みとミネラリィさを感じる清涼感がとても心地よく舌上を滑っていきます。
しかし、ただ飲みやすいというだけではなく、その旨みには厚みもあり、幅を出しているので、まるでジューシーなお米の果実を丸かじりしているような、芳醇な旨味に満ちています。
気づくと、ロウソクのようにフッと消えていく後味も見事で、飲み疲れのない、最良のバランスで醸された純米酒です。",,,,https://www.af-1.jp/bottle/11716.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岩手県産米</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">60％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">16度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11716.png"">",,,0,0,4035,赤武 純米 720ml,11717,,,非表示,0,弊社指定の運送会社,1250,,,,,,1300,,1,本,1,,,12,0,1,0,0,,0,,表示,,,,1300,1300,1300,1300,,,,,,,,,,,,,赤武 純米,,,,,
,3131,赤武 純米吟醸,,"赤武の旨さが凝縮されています
次世代の杜氏が醸す渾身の純米吟醸",10,,,,,岩手県,,,,,,,,,,,,"赤武の中でも大きな人気を誇る純米吟醸酒。
華やかな吟醸香はメロンやリンゴのようなフレッシュ＆フルーティーな香り。
突き抜ける、春の晴天のような
心地よい香りは口に含む前から飲み手を高揚感で満たしてくれます。
味わってみるとスカッと、潔い甘さを携えたなんとも爽やかな甘み。
また、味わいにはボリュームもり、
爽快でありながら、旨みを多く含んだジューシーさも感じさせてくれます。
純米吟醸酒表記でありながら、
50%精米と純米大吟醸クラスの精米歩合も相まって、
雑味はほとんど感じることなく、次の一杯を喉が欲しているのを感じます。
旨み、酸味、苦味がこれほど高水準に
バランスの取れたお酒は中々ないのではないでしょうか。
余韻も、僅かに感じる程度の酸味が鮮やかなキレを生み出し、
いくらでも飲み続けたいと思う一本に仕上がっています。
このレベルのお酒を造っているのが20代半ばの杜氏ということですから、末恐ろしいと言わざるを得ません。",,,,https://www.af-1.jp/bottle/11718.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岩手県産米</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">16度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11718.png"">",,,0,0,4044,赤武 純米吟醸 1.8L,11718,,,非表示,0,弊社指定の運送会社,3000,,,,,,3600,,1,本,1,,,9,0,1,0,6,,0,,表示,,,,3600,3600,3600,3600,,,,,,,,,,,,,赤武 純米吟醸,,,,,
,3131,赤武 純米吟醸,,"赤武の旨さが凝縮されています
次世代の杜氏が醸す渾身の純米吟醸",10,,,,,岩手県,,,,,,,,,,,,"赤武の中でも大きな人気を誇る純米吟醸酒。
華やかな吟醸香はメロンやリンゴのようなフレッシュ＆フルーティーな香り。
突き抜ける、春の晴天のような
心地よい香りは口に含む前から飲み手を高揚感で満たしてくれます。
味わってみるとスカッと、潔い甘さを携えたなんとも爽やかな甘み。
また、味わいにはボリュームもり、
爽快でありながら、旨みを多く含んだジューシーさも感じさせてくれます。
純米吟醸酒表記でありながら、
50%精米と純米大吟醸クラスの精米歩合も相まって、
雑味はほとんど感じることなく、次の一杯を喉が欲しているのを感じます。
旨み、酸味、苦味がこれほど高水準に
バランスの取れたお酒は中々ないのではないでしょうか。
余韻も、僅かに感じる程度の酸味が鮮やかなキレを生み出し、
いくらでも飲み続けたいと思う一本に仕上がっています。
このレベルのお酒を造っているのが20代半ばの杜氏ということですから、末恐ろしいと言わざるを得ません。",,,,https://www.af-1.jp/bottle/11718.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岩手県産米</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">16度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11718.png"">",,,0,0,4045,赤武 純米吟醸 720ml,11719,,,非表示,0,弊社指定の運送会社,1250,,,,,,1800,,1,本,1,,,7,0,1,0,0,,0,,表示,,,,1800,1800,1800,1800,,,,,,,,,,,,,赤武 純米吟醸,,,,,
,3136,赤武 純米吟醸 結の香,,"美しい純米吟醸。
最高峰酒米”結の香”使用の限定酒",10,,,,,岩手県,,,,,,,,,,,,"""山田錦に匹敵する酒米を""という想いから
岩手県で10年の歳月を経て造られた、岩手県生まれの最高峰の酒米「結の香」。
雑味が少なく、クリアで澄んだ酒米です。
そんな結の香を使用して造られた限定酒。

マスカットやライチを思わせる控えめな吟醸香、
その中にあるゆったりとした甘みのある香りがたまりません。
口に含むと結の香の特徴である、澄んだ酒質と、
甘みあるフルーティーな味わいがスルスルと喉奥へ流れ込んでいきます。

酸を多めに感じる分、旨味の輪郭がはっきりとしていて、
一口飲んだ瞬間から「旨い」と分かる味わいに。
全ての味がこのお酒に必要なバランスで乗っており、
そのポテンシャルの高さを遺憾なく発揮しています。",,,,https://www.af-1.jp/bottle/11722.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岩手県産米「結の香」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">16度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11722.png"">",,,0,0,4052,赤武 純米吟醸 結の香 1.8L,11722,,,非表示,0,弊社指定の運送会社,3000,,,,,,3800,,1,本,1,,,0,0,1,0,0,,0,,表示,,,,3800,3800,3800,3800,,,,,,,,,,,,,赤武 純米吟醸 結の香,,,,,
,3139,赤武 純米吟醸 山田錦,,"ベテラン杜氏が醸したような
完成度の高さに脱帽",10,,,,,岩手県,,,,,,,,,,,,"赤武から待望の山田錦使用のお酒です。
やはり、日本酒造りとは切っても切れない酒米「山田錦」
古舘龍之介杜氏が弱冠24歳にして初めてチャレンジした酒造好適米です。

熟したメロンのように華やかで、上品な吟醸香、非常に旨みが期待できそうな香りです。
飲んでみると、やはり、香りから感じられるあの醇麗な甘さを感じます。
よくよく味わって含むと、控えな酸と、優しく寄り添う苦みがその甘さを
くどくない甘さにさせ、
山田錦の持つふくよかさを存分に感じさせながらも落ち着きある味わいに。
少し温度が上がってくると、その旨みは更に顕著になり、
バニラのような味わいが広がっていきます。
計算と感性から生み出された山田錦の味わいは想像を遥かに上回る出来栄え。
赤武というお酒をもっと飲んでみたくなる、旨口純米吟醸酒です。",,,,https://www.af-1.jp/bottle/11723.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">兵庫県産「山田錦」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">15度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11723.png"">",,,0,0,4056,赤武 純米吟醸 山田錦 1.8L,11723,,,非表示,0,弊社指定の運送会社,3000,,,,,,3800,,1,本,1,,,0,0,1,0,2,,0,,表示,,,,3800,3800,3800,3800,,,,,,,,,,,,,赤武 純米吟醸 山田錦,,,,,
,3139,赤武 純米吟醸 山田錦,,"ベテラン杜氏が醸したような
完成度の高さに脱帽",10,,,,,岩手県,,,,,,,,,,,,"赤武から待望の山田錦使用のお酒です。
やはり、日本酒造りとは切っても切れない酒米「山田錦」
古舘龍之介杜氏が弱冠24歳にして初めてチャレンジした酒造好適米です。

熟したメロンのように華やかで、上品な吟醸香、非常に旨みが期待できそうな香りです。
飲んでみると、やはり、香りから感じられるあの醇麗な甘さを感じます。
よくよく味わって含むと、控えな酸と、優しく寄り添う苦みがその甘さを
くどくない甘さにさせ、
山田錦の持つふくよかさを存分に感じさせながらも落ち着きある味わいに。
少し温度が上がってくると、その旨みは更に顕著になり、
バニラのような味わいが広がっていきます。
計算と感性から生み出された山田錦の味わいは想像を遥かに上回る出来栄え。
赤武というお酒をもっと飲んでみたくなる、旨口純米吟醸酒です。",,,,https://www.af-1.jp/bottle/11723.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">兵庫県産「山田錦」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">15度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11723.png"">",,,0,0,4057,赤武 純米吟醸 山田錦 720ml,11724,,,非表示,0,弊社指定の運送会社,1250,,,,,,1900,,1,本,1,,,0,0,1,0,1,,0,,表示,,,,1900,1900,1900,1900,,,,,,,,,,,,,赤武 純米吟醸 山田錦,,,,,
,3140,赤武 純米吟醸 雄町,,雄町米の旨さ爆発！どっぷりと溢れ出る旨みは一級品,10,,15,,,岩手県,,,,,,,,,,,,"赤武から待望の雄町米使用のお酒です。
山田錦と並ぶ、日本屈指の酒造好適米である雄町。
古舘龍之介杜氏が弱冠24歳にして初めてチャレンジした酒造好適米です。
雄町の特徴を最大に活かすため吸水と麹に重点を置いて造りました。

立ち香は穏やかで、ほんのりと米の甘さが香ります。
口に含んでみると...、押し寄せる雄町米らしいボリューミーな旨味！
ドドドと流れ込んでくるこの旨さは雄町米の美点を
全て内包しているのではないかと感じてしまうほどです。
また、シャープなキレも心地よく、
濃い旨みを持つお酒でありながら、しつこさを全く感じさせません。
赤武らしいフルーティーさや、キレの良さを残した、古舘龍之介杜氏の理想とする味わいである「軽快さに深みのある味わい」を実現。",,,,https://www.af-1.jp/bottle/11725.jpg,,表示,,,,,2021/3/16 15:36,,"<table class=""spec"" border=""1"">
  <tr>
    <th class=""spec"">使用米</th><td class=""spec"">岡山県産「雄町」</td>
  </tr>
  <tr>
    <th class=""spec"">磨き</th><td class=""spec"">50％</td>
  </tr>
  <tr>
    <th class=""spec"">特定名称酒など</th><td class=""spec"">純米吟醸/火入れ酒</td>
  </tr>
   <tr>
    <th class=""spec"">度数</th><td class=""spec"">15度</td>
  </tr>
</table>","<img src=""https://www.af-1.jp/img/aji_11725.png"">",,,0,0,4058,赤武 純米吟醸 雄町 1.8L,11725,,,非表示,0,弊社指定の運送会社,3000,,,,,,3800,,1,本,1,,,0,0,1,0,0,,0,,表示,,,,3800,3800,3800,3800,,,,,,,,,,,,,赤武 純米吟醸 雄町,,,,,
