【基本】商品名,メーカー名,【基本】生産地,甘辛度,香り,スペック,ギフト,クール,【セット】単価,【基本】キャッチコピー,説明詳細,【基本】画像
紀土 KID 純米大吟醸 Sparkling,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1900,世界に広がる紀土の”泡”,,https://www.af-1.jp/bottle/11418.jpg
紀土 KID 純米大吟醸 Sparkling,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1000,世界に広がる紀土の”泡”,,https://www.af-1.jp/bottle/11418.jpg
紀土 純米,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1900,"日本酒初心者でもスイッと飲めてしまう
優しい味はほっこり癒し系",,https://www.af-1.jp/bottle/10182.jpg
紀土 純米,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,950,"日本酒初心者でもスイッと飲めてしまう
優しい味はほっこり癒し系",,https://www.af-1.jp/bottle/10182.jpg
紀土 純米 あがらの生原酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2600,"蔵人たちと和歌山の米栽培農家の
思いが込められた
あがら(＝私たち)のお酒",,https://www.af-1.jp/bottle/10844.jpg
紀土 純米 あがらの生原酒,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1300,"蔵人たちと和歌山の米栽培農家の
思いが込められた
あがら(＝私たち)のお酒",,https://www.af-1.jp/bottle/10844.jpg
紀土 純米吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2260,"青リンゴ系の少し華やかな優しい吟醸香が広がる
透明感のある綺麗な味",,https://www.af-1.jp/bottle/10181.jpg
紀土 純米吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1130,"青リンゴ系の少し華やかな優しい吟醸香が広がる
透明感のある綺麗な味",,https://www.af-1.jp/bottle/10181.jpg
紀土 純米吟醸 しぼりたて,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,しぼりたて特有のフレッシュな味わいまろやかながらもシャープな切れ味,,https://www.af-1.jp/bottle/11249.jpg
紀土 純米吟醸 しぼりたて,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1150,しぼりたて特有のフレッシュな味わいまろやかながらもシャープな切れ味,,https://www.af-1.jp/bottle/11249.jpg
紀土 純米吟醸 にごりざけ,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2400,にごり酒生ならでは！爽やかなガス感と華やかな香り。爽快！柔らかな旨味！,,https://www.af-1.jp/bottle/11293.jpg
紀土 純米吟醸 にごりざけ,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1200,にごり酒生ならでは！爽やかなガス感と華やかな香り。爽快！柔らかな旨味！,,https://www.af-1.jp/bottle/11293.jpg
紀土 純米吟醸 ひやおろし,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,柔らかな口当たりスっとキレる優しい印象の酒,,https://www.af-1.jp/bottle/10631.jpg
紀土 純米吟醸 ひやおろし,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1150,柔らかな口当たりスっとキレる優しい印象の酒,,https://www.af-1.jp/bottle/10631.jpg
紀土 純米吟醸 夏の疾風,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,爽やかなリンゴ酸が夏の暑さを癒してくれます。,,https://www.af-1.jp/bottle/10494.jpg
紀土 純米吟醸 夏の疾風,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1150,爽やかなリンゴ酸が夏の暑さを癒してくれます。,,https://www.af-1.jp/bottle/10494.jpg
紀土 純米吟醸春ノ薫風,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,ほんのりとした苦みがポイント♪春野菜と共に是非味わいたい！,,https://www.af-1.jp/bottle/10686.jpg
紀土 純米吟醸春ノ薫風,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1150,ほんのりとした苦みがポイント♪春野菜と共に是非味わいたい！,,https://www.af-1.jp/bottle/10686.jpg
紀土 純米大吟醸 shibatas ambitious,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3600,杜氏SPECIAL華やかさをプラス!,,https://www.af-1.jp/bottle/11371.jpg
紀土 純米大吟醸 shibatas ambitious,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,杜氏SPECIAL華やかさをプラス!,,https://www.af-1.jp/bottle/11371.jpg
紀土 純米大吟醸 shibata's be fresh,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3600,"生き生きとした生命感や
若々しさを名前そのままに
フレッシュ感あふれる酒",,https://www.af-1.jp/bottle/10554.jpg
紀土 純米大吟醸 shibata's be fresh,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1800,"生き生きとした生命感や
若々しさを名前そのままに
フレッシュ感あふれる酒",,https://www.af-1.jp/bottle/10554.jpg
紀土 純米大吟醸 山田五〇,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2800,"このスペック、
この味で、この価格!!
はっきり言って安いです。",,https://www.af-1.jp/bottle/10534.jpg
紀土 純米大吟醸 山田五〇,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1400,"このスペック、
この味で、この価格!!
はっきり言って安いです。",,https://www.af-1.jp/bottle/10534.jpg
紀土 純米大吟醸 山田四十,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,4600,"繊細な味わいを表現しようと醸しました
新しい『紀土』の幕開けです！",,https://www.af-1.jp/bottle/11373.jpg
紀土 純米大吟醸 山田四十,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2300,"繊細な味わいを表現しようと醸しました
新しい『紀土』の幕開けです！",,https://www.af-1.jp/bottle/11373.jpg
紀土 純米大吟醸 山田四十五,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,3800,"透明感と優しさあふれる
紀州の爽やかなミントグリーン！",,https://www.af-1.jp/bottle/11410.jpg
紀土 純米大吟醸 山田四十五,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,1900,"透明感と優しさあふれる
紀州の爽やかなミントグリーン！",,https://www.af-1.jp/bottle/11410.jpg
紀土 大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,4200,"山田錦を35％まで磨いた贅沢なお酒
綺麗で優しい味わいの食中酒",,https://www.af-1.jp/bottle/10532.jpg
紀土 大吟醸,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2100,"山田錦を35％まで磨いた贅沢なお酒
綺麗で優しい味わいの食中酒",,https://www.af-1.jp/bottle/10532.jpg
紀土 特別純米 カラクチキッド,平和酒造,和歌山県,中口,やや強い,純米大吟醸,False,False,2100,ふんわりカラクチ心地よい刺激！,,https://www.af-1.jp/bottle/11317.jpg
